plot_name,accession_name,location,female_parents,male_parents,plot_number,row_number,column_number,rep_number,is_a_control,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,lodging,CWBD,plant_type,root_shape,root_type,root_skin_color,plot_weight,starch_content,percentage_root_rot
2024201DMEAR_chauthanh_rep1_VF21-0005_1,VF21-0005,chauthanh,HL-S13,CR24-3,1,1,1,1,0,1,1,1,1,1,0,NA,1,cylindrical,1,cream,114,18.7,28.00
2024201DMEAR_chauthanh_rep1_TMEB419_2,TMEB419,chauthanh,NA,NA,2,1,2,1,1,0.68,1,1,1,1,0,NA,1,conical,2,cream,57,21.5,83.33
2024201DMEAR_chauthanh_rep1_VH21-0072_3,VH21-0072,chauthanh,IBA972205,NA,3,1,3,1,0,0.96,1,1,1,1,0.8,NA,4,conical,3,dark_brown,71,14.3,14.29
2024201DMEAR_chauthanh_rep1_VF21-0184_4,VF21-0184,chauthanh,KM140,AR9-18,4,1,4,1,0,0.92,1,1,1,1,0,NA,1,conical,2,cream,102,16.7,19.05
2024201DMEAR_chauthanh_rep1_VH21-1087_5,VH21-1087,chauthanh,TMEB419,NA,5,1,5,1,0,0.88,1,1,1,1,0.3,NA,1,conical,1,brown,94,25.7,4.55
2024201DMEAR_chauthanh_rep1_IBA980581_6,IBA980581,chauthanh,NA,NA,6,1,6,1,1,0.88,1,1,1,1,1,NA,2,conical,2,brown,34,11,76.47
2024201DMEAR_chauthanh_rep1_VH21-1140_7,VH21-1140,chauthanh,CR24-12,NA,7,1,7,1,0,0.72,1,1,1,1,0,NA,1,conical,3,cream,0,NA,100.00
2024201DMEAR_chauthanh_rep1_VF21-0055_8,VF21-0055,chauthanh,HL-S14,AR9-18,8,2,7,1,0,1,1,1,1,1,1,NA,1,conical,1,cream,0,NA,100.00
2024201DMEAR_chauthanh_rep1_VH21-0203_9,VH21-0203,chauthanh,IBA980505,NA,9,2,6,1,0,1,1,1,1,1,0.5,NA,1,cylindrical,2,brown,41,15.9,91.30
2024201DMEAR_chauthanh_rep1_KM505_10,KM505,chauthanh,NA,NA,10,2,5,1,1,0.96,1,2,2,1,0.1,NA,1,conical,2,brown,58,19.3,73.91
2024201DMEAR_chauthanh_rep1_KU50_11,KU50,chauthanh,NA,NA,11,2,4,1,1,1,1,3,4,3,0,NA,1,cylindrical,2,cream,54,20.9,58.33
2024201DMEAR_chauthanh_rep1_CR24-16_12,CR24-16,chauthanh,NA,NA,12,2,3,1,1,0.8,1,1,1,1,0,NA,1,conical,3,brown,25,21.3,47.37
2024201DMEAR_chauthanh_rep1_VH21-0477_13,VH21-0477,chauthanh,AR9-18,NA,13,2,2,1,0,0.68,1,1,1,1,1,NA,3,conical,2,cream,16,22,58.82
2024201DMEAR_chauthanh_rep1_VH21-0402_14,VH21-0402,chauthanh,KM140,NA,14,2,1,1,0,1,1,1,1,1,0.3,NA,1,cylindrical,3,cream,36,16.1,86.36
2024201DMEAR_chauthanh_rep1_VH21-0016_15,VH21-0016,chauthanh,IBA920057,NA,15,3,1,1,0,1,1,1,1,1,1,NA,1,conical,3,brown,NA,NA,100.00
2024201DMEAR_chauthanh_rep1_VH21-0061_16,VH21-0061,chauthanh,IBA972205,NA,16,3,2,1,0,0.92,1,1,1,1,1,NA,1,cylindrical,2,brown,5.6,17.8,100.00
2024201DMEAR_chauthanh_rep1_VH21-0708_17,VH21-0708,chauthanh,KU50,NA,17,3,3,1,0,1,1,1,1,1,1,NA,1,conical,2,brown,9,14.5,100.00
2024201DMEAR_chauthanh_rep1_VF21-0017_18,VF21-0017,chauthanh,HL-S14,AR9-18,18,3,4,1,0,1,1,1,1,1,0.8,NA,1,conical,3,brown,21.4,21.7,100.00
2024201DMEAR_chauthanh_rep1_VF21-0109_19,VF21-0109,chauthanh,HL-S13,AR9-18,19,3,5,1,0,1,1,1,1,1,0.1,NA,1,conical,2,cream,42.6,23.4,79.17
2024201DMEAR_chauthanh_rep1_VH21-0779_20,VH21-0779,chauthanh,KU50,NA,20,3,6,1,0,0.92,1,1,1,1,1,NA,3,cylindrical,2,brown,12.8,15.8,95.00
2024201DMEAR_chauthanh_rep1_VH21-0172_21,VH21-0172,chauthanh,IBA980505,NA,21,3,7,1,0,0.96,1,1,1,0,0.8,NA,1,cylindrical,1,cream,11.2,10.4,100.00
2024201DMEAR_chauthanh_rep2_VH21-0779_22,VH21-0779,chauthanh,KU50,NA,22,4,7,2,0,0.92,1,1,1,1,1,NA,3,cylindrical,2,brown,12.5,13.5,100.00
2024201DMEAR_chauthanh_rep2_VH21-1140_23,VH21-1140,chauthanh,CR24-12,NA,23,4,6,2,0,1,1,1,1,1,0.8,NA,1,cylindrical,2,brown,15,22.5,86.96
2024201DMEAR_chauthanh_rep2_VH21-0477_24,VH21-0477,chauthanh,AR9-18,NA,24,4,5,2,0,0.96,1,1,1,1,1,NA,2,cylindrical,2,cream,18.6,19.9,66.67
2024201DMEAR_chauthanh_rep2_VH21-0203_25,VH21-0203,chauthanh,IBA980505,NA,25,4,4,2,0,0.96,1,1,1,1,0.3,NA,1,conical,2,brown,34.6,15.6,78.95
2024201DMEAR_chauthanh_rep2_IBA980581_26,IBA980581,chauthanh,NA,NA,26,4,3,2,1,0.92,1,1,1,1,1,NA,1,conical,2,brown,10.5,12.1,100.00
2024201DMEAR_chauthanh_rep2_VH21-0072_27,VH21-0072,chauthanh,IBA972205,NA,27,4,2,2,0,1,1,1,1,1,1,NA,3,cylindrical,2,brown,13,10,100.00
2024201DMEAR_chauthanh_rep2_VH21-0172_28,VH21-0172,chauthanh,IBA980505,NA,28,4,1,2,0,0.96,1,1,1,1,0.5,NA,1,cylindrical,2,brown,15,17.5,100.00
2024201DMEAR_chauthanh_rep2_VF21-0017_29,VF21-0017,chauthanh,HL-S14,AR9-18,29,5,1,2,0,0.92,1,1,1,1,0.8,NA,3,conical,2,cream,20.2,24.3,0.00
2024201DMEAR_chauthanh_rep2_VF21-0184_30,VF21-0184,chauthanh,KM140,AR9-18,30,5,2,2,0,1,1,1,1,1,0.5,NA,1,conical,2,cream,37.6,14.9,0.00
2024201DMEAR_chauthanh_rep2_TMEB419_31,TMEB419,chauthanh,NA,NA,31,5,3,2,1,0.08,1,1,1,1,1,NA,1,cylindrical,1,brown,3,16,0.00
2024201DMEAR_chauthanh_rep2_VH21-0708_32,VH21-0708,chauthanh,KU50,NA,32,5,4,2,0,0.96,1,1,1,1,0.8,NA,1,cylindrical,1,brown,8.4,11.1,0.00
2024201DMEAR_chauthanh_rep2_VH21-0061_33,VH21-0061,chauthanh,IBA972205,NA,33,5,5,2,0,1,1,1,1,1,1,NA,1,cylindrical,1,dark_brown,4.6,19,100.00
2024201DMEAR_chauthanh_rep2_VH21-0016_34,VH21-0016,chauthanh,IBA920057,NA,34,5,6,2,0,0.96,1,1,1,1,0.8,NA,1,cylindrical,1,dark_brown,30,20,100.00
2024201DMEAR_chauthanh_rep2_VH21-0402_35,VH21-0402,chauthanh,KM140,NA,35,5,7,2,0,1,1,1,1,1,0.5,NA,1,cylindrical,2,cream,52.6,13.5,72.73
2024201DMEAR_chauthanh_rep2_KU50_36,KU50,chauthanh,NA,NA,36,6,7,2,1,1,2,3,4,4,0.9,NA,1,cylindrical,1,cream,54,16.8,20.00
2024201DMEAR_chauthanh_rep2_VH21-1087_37,VH21-1087,chauthanh,TMEB419,NA,37,6,6,2,0,1,1,1,1,1,0,NA,1,cylindrical,1,brown,86.6,26.2,36.00
2024201DMEAR_chauthanh_rep2_VF21-0055_38,VF21-0055,chauthanh,HL-S14,AR9-18,38,6,5,2,0,1,1,1,1,1,0.5,NA,1,cylindrical,1,cream,25.6,18,72.00
2024201DMEAR_chauthanh_rep2_KM505_39,KM505,chauthanh,NA,NA,39,6,4,2,1,1,1,2,1,1,0,NA,1,cylindrical,1,brown,55.4,19.4,52.00
2024201DMEAR_chauthanh_rep2_VF21-0005_40,VF21-0005,chauthanh,HL-S13,CR24-3,40,6,3,2,0,1,1,1,1,1,0.5,NA,1,cylindrical,2,cream,37.5,18,48.00
2024201DMEAR_chauthanh_rep2_VF21-0109_41,VF21-0109,chauthanh,HL-S13,AR9-18,41,6,2,2,0,1,1,1,1,1,0,NA,1,conical,2,cream,52.6,22.8,57.89
2024201DMEAR_chauthanh_rep2_CR24-16_42,CR24-16,chauthanh,NA,NA,42,6,1,2,1,0.52,1,1,1,1,0.5,NA,3,conical,1,dark_brown,11,20,100.00
2024201DMEAR_chauthanh_rep3_KU50_43,KU50,chauthanh,NA,NA,43,7,1,3,1,1,2,3,4,3,0.9,NA,1,cylindrical,1,cream,19.2,20.1,68.00
2024201DMEAR_chauthanh_rep3_IBA980581_44,IBA980581,chauthanh,NA,NA,44,7,2,3,1,1,1,1,1,1,0.8,NA,1,conical,1,cream,12.2,14.6,68.00
2024201DMEAR_chauthanh_rep3_VH21-0477_45,VH21-0477,chauthanh,AR9-18,NA,45,7,3,3,0,0.96,1,1,1,1,1,NA,2,cylindrical,2,cream,9.7,22.7,58.33
2024201DMEAR_chauthanh_rep3_VH21-0072_46,VH21-0072,chauthanh,IBA972205,NA,46,7,4,3,0,1,1,1,1,1,1,NA,3,cylindrical,3,brown,31.4,15,72.00
2024201DMEAR_chauthanh_rep3_VF21-0017_47,VF21-0017,chauthanh,HL-S14,AR9-18,47,7,5,3,0,1,1,1,1,1,0,NA,2,cylindrical,1,brown,85.2,25.4,28.00
2024201DMEAR_chauthanh_rep3_VF21-0055_48,VF21-0055,chauthanh,HL-S14,AR9-18,48,7,6,3,0,1,1,1,1,1,0,NA,1,conical,1,cream,50.4,21.8,76.00
2024201DMEAR_chauthanh_rep3_VH21-0203_49,VH21-0203,chauthanh,IBA980505,NA,49,7,7,3,0,1,1,1,1,1,0,NA,1,cylindrical,1,brown,150,17.2,12.00
2024201DMEAR_chauthanh_rep3_VF21-0005_50,VF21-0005,chauthanh,HL-S13,CR24-3,50,8,7,3,0,0.96,1,1,1,1,0,NA,1,cylindrical,1,cream,101.2,18,8.33
2024201DMEAR_chauthanh_rep3_VF21-0109_51,VF21-0109,chauthanh,HL-S13,AR9-18,51,8,6,3,0,1,1,1,1,1,0,NA,1,conical,1,cream,88.8,24.2,12.00
2024201DMEAR_chauthanh_rep3_VH21-0779_52,VH21-0779,chauthanh,KU50,NA,52,8,5,3,0,0.96,1,1,1,1,0.3,NA,2,cylindrical,1,brown,53.4,19.4,41.67
2024201DMEAR_chauthanh_rep3_VH21-0402_53,VH21-0402,chauthanh,KM140,NA,53,8,4,3,0,1,1,1,1,1,1,NA,1,conical,1,cream,14.2,15,84.00
2024201DMEAR_chauthanh_rep3_VH21-1140_54,VH21-1140,chauthanh,CR24-12,NA,54,8,3,3,0,1,1,1,1,1,0.9,NA,1,conical,1,cream,21.4,23.7,72.00
2024201DMEAR_chauthanh_rep3_KM505_55,KM505,chauthanh,NA,NA,55,8,2,3,1,1,1,1,2,2,0,NA,1,conical,1,brown,33.2,20,60.00
2024201DMEAR_chauthanh_rep3_VH21-1087_56,VH21-1087,chauthanh,TMEB419,NA,56,8,1,3,0,1,1,1,1,1,0.8,NA,2,conical,1,brown,13.2,23.8,76.00
2024201DMEAR_chauthanh_rep3_TMEB419_57,TMEB419,chauthanh,NA,NA,57,9,1,3,1,0.76,1,1,1,1,1,NA,1,cylindrical,1,brown,4.6,18,84.21
2024201DMEAR_chauthanh_rep3_CR24-16_58,CR24-16,chauthanh,NA,NA,58,9,2,3,1,0.72,1,1,1,1,1,NA,1,conical,1,dark_brown,4.4,20.7,66.67
2024201DMEAR_chauthanh_rep3_VH21-0016_59,VH21-0016,chauthanh,IBA920057,NA,59,9,3,3,0,1,1,1,1,1,0.8,NA,1,cylindrical,1,brown,33,17.8,68.00
2024201DMEAR_chauthanh_rep3_VH21-0061_60,VH21-0061,chauthanh,IBA972205,NA,60,9,4,3,0,1,1,1,1,1,1,NA,1,conical,1,brown,11.8,17.5,76.00
2024201DMEAR_chauthanh_rep3_VH21-0708_61,VH21-0708,chauthanh,KU50,NA,61,9,5,3,0,1,1,1,1,1,0,NA,1,cylindrical,1,cream,52.4,15.5,56.00
2024201DMEAR_chauthanh_rep3_VH21-0172_62,VH21-0172,chauthanh,IBA980505,NA,62,9,6,3,0,1,1,1,1,1,0,NA,1,cylindrical,1,cream,63.6,13.5,28.00
2024201DMEAR_chauthanh_rep3_VF21-0184_63,VF21-0184,chauthanh,KM140,AR9-18,63,9,7,3,0,1,1,1,1,1,0,NA,1,cylindrical,1,cream,107.2,16.6,0.00
